id,name,pricePerItem,pricePer100g,amount,unit,totalPrice
,MEHL , Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
1,Buchweizenmehl Vollkorn bio,,"  0,64 € ",,Gramm,  -   € 
1,Dinkelmehl Type 1050 bio,,"  0,30 € ",,Gramm,  -   € 
1,Dinkelmehl Type 630 bio,,"  0,30 € ",,Gramm,  -   € 
1,Dinkelvollkornmehl bio,,"  0,30 € ",,Gramm,  -   € 
1,Glutenfreie Brot Backmischung 500g bio,"  4,20 € ",,,Stück,  -   € 
1,Glutenfreie Brötchen Backmischung 500g bio,"  3,99 € ",,,Stück,  -   € 
1,Glutenfreier Mehlmix Kuchen 500g Packung bio,"  4,99 € ",,,Stück,  -   € 
1,"Kokosmehl fein, 250g Packung bio","  3,99 € ",,,Stück,  -   € 
1,"Leinmehl, 250g Packung bio","  3,99 € ",,,Stück,  -   € 
1,Maisstärke bio,,"  0,53 € ",,Gramm,  -   € 
1,"Mandelmehl, 250 g  Packung bio","  8,99 € ",,,Stück,  -   € 
1,Paniermehl Dinkel 200g Packung bio,"  2,40 € ",,,Stück,  -   € 
1,"Paniermehl Weizen 200g Packung,bio","  2,10 € ",,,Stück,  -   € 
1,"Roggenmehl Type 1150,bio",,"  0,23 € ",,Gramm,  -   € 
1,"Roggenvollkornmehl,bio",,"  0,23 € ",,Gramm,  -   € 
1,"Weizenmehl Type 1050, bio",,"  0,23 € ",,Gramm,  -   € 
1,"Weizenmehl Type 550,bio",,"  0,23 € ",,Gramm,  -   € 
1,"Weizenmehl Vollkorn, bio",,"  0,23 € ",,Gramm,  -   € 
,GETREIDE, Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
2,Amaranth  bio,,"  0,50 € ",,Gramm,  -   € 
2,"Buchweizen ganz,  bio",,"  0,60 € ",,Gramm,  -   € 
2,Bulgur medium bio,,"  0,45 € ",,Gramm,  -   € 
2,Couscous Vollkorn bio,,"  0,45 € ",,Gramm,  -   € 
2,Dinkel Pur - ganzes Korn bio,,"  0,38 € ",,Gramm,  -   € 
2,Dinkelvollkorngrieß bio,,"  0,55 € ",,Gramm,  -   € 
2,Gersten- Graupen bio,,"  0,40 € ",,Gramm,  -   € 
2,Grünkern Pur (holzdedarrt)bio,,"  0,99 € ",,Gramm,  -   € 
2,Hartweizengrieß Vollkorn bio,,"  0,39 € ",,Gramm,  -   € 
2,Hirse bio,,"  0,50 € ",,Gramm,  -   € 
2,Maisgrieß  bio,,"  0,45 € ",,Gramm,  -   € 
2,Nackthafer bio,,"  0,57 € ",,Gramm,  -   € 
2,Quinoa tricolore bio,,"  1,60 € ",,Gramm,  -   € 
,REIS, Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
3,Basmatireis natur  bio,,"  0,88 € ",,Gramm,  -   € 
3,"Basmatireis weiß ,bio",,"  0,65 € ",,Gramm,  -   € 
3,Dinkel Reis (geschliffenes Dinkelkorn) bio,,"  0,50 € ",,Gramm,  -   € 
3,"Langkornreis natur (Spitzenreis) ,bio",,"  0,43 € ",,Gramm,  -   € 
3,Milchreis weiß (Spitzenreis) bio,,"  0,45 € ",,Gramm,  -   € 
3,Parboiled Reis  bio,,"  0,60 € ",,Gramm,  -   € 
3,Risotto Reis Arborio bio,,"  0,60 € ",,Gramm,  -   € 
,NUDELN, Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
4,Bandnudeln Nudelwerkstatt (Dinkelgrieß)  bio - Natur - handgemacht,,"  1,10 € ",,Gramm,  -   € 
4,Bandnudeln Nudelwerkstatt (Dinkelgrieß)  bio - Paprika - handgemacht,,"  1,10 € ",,Gramm,  -   € 
4,Bandnudeln Nudelwerkstatt (Dinkelgrieß)  bio - Zitrone - handgemacht,,"  1,10 € ",,Gramm,  -   € 
4,"Lasagneblätter (Weizen), bio",,"  0,99 € ",,Gramm,  -   € 
4,"Penne Dinkel hell,bio",,"  0,78 € ",,Gramm,  -   € 
4,"Penne Dinkel Vollkorn ,bio",,"  0,74 € ",,Gramm,  -   € 
4,Spaghetti (Weizen) hell bio,,"  0,46 € ",,Gramm,  -   € 
4,Spaghetti Nudelwerkstatt(Dinkelgrieß) bio - Kurkuma - handgemacht,,"  1,10 € ",,Gramm,  -   € 
4,Spaghetti Nudelwerkstatt(Dinkelgrieß) bio - Spinat - handgemacht,,"  1,10 € ",,Gramm,  -   € 
4,Spaghetti (Weizen) Vollkorn bio,,"  0,43 € ",,Gramm,  -   € 
4,Spiralen hell (Weizen) bio,,"  0,46 € ",,Gramm,  -   € 
4,"Spiralen Vollkorn (Weizen), bio",,"  0,51 € ",,Gramm,  -   € 
4,Spirelli Dinkel Demeter bio,,"  0,65 € ",,Gramm,  -   € 
4,Strozzapreti aus roten Linsen bio,,"  1,47 € ",,Gramm,  -   € 
4,Suppennudeln bio (Fädle) -Weizen,,"  0,37 € ",,Gramm,  -   € 
,MÜSLI/ FLOCKEN, Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
5,"Cornflakes ohne Zucker, bio",,"  0,80 € ",,Gramm,  -   € 
5,"Crunchy Feinschmecker(Mandel, Nuss) bio",,"  1,49 € ",,Gramm,  -   € 
5,"Crunchy Hafer (mit Agavendicksaft) ,bio",,"  0,85 € ",,Gramm,  -   € 
5,Crunchy Himbeer mit Kokos bio,,"  1,45 € ",,Gramm,  -   € 
5,Crunchy Schoko mit Kokos+Banane bio,,"  1,07 € ",,Gramm,  -   € 
5,"Dinkelflocken, bio",,"  0,42 € ",,Gramm,  -   € 
5,Dinkelpops mit Agavendicksaft bio,,"  1,25 € ",,Gramm,  -   € 
5,"Haferflocken fein Vollkorn, bio",,"  0,32 € ",,Gramm,  -   € 
5,Haferflocken grob Vollkorn bio,,"  0,32 € ",,Gramm,  -   € 
5,Müsli Basis mit Weinbeeren bio,,"  0,40 € ",,Gramm,  -   € 
5,Müsli Nuss/Kokos/Saaten ohne Trockenfrüchte bio,,"  0,79 € ",,Gramm,  -   € 
5,"Porridge Apfel&Zimt mit Quinoa, bio",,"  0,78 € ",,Gramm,  -   € 
,NÜSSE/ SAATEN, Preis pro Stück, Preis pro 100g,Bestellmenge,Einheit, Gesamtpreis
6,"Cashewbruch, naturbelassen bio",,"  2,24 € ",,Gramm,  -   € 
6,Chiasamen Salvia hispanica/schwarz bio,,"  1,48 € ",,Gramm,  -   € 
6,Erdnüsse gesalzen 160g Glas bio inkl. Pfand,"  3,45 € ",,,Stück,  -   € 
6,Erdnüsse süß pikant gewürzt 125 g Glas bio inkl. Pfand,"  3,80 € ",,,Stück,  -   € 
6,"Flohsamen ganz,  bio",,"  1,50 € ",,Gramm,  -   € 
6,Hanfsamen geschält Dose 500g bio,"  13,80 € ",,,Stück,  -   € 
6,"Haselnusskerne ganz ,bio",,"  2,45 € ",,Gramm,  -   € 
6,Haselnusskerne gehackt geröstet bio,,"  2,25 € ",,Gramm,  -   € 
6,"Kokoschips geröstet, ungesüßt bio",,"  1,99 € ",,Gramm,  -   € 
6,Kürbiskerne dunkelgrün Europa bio,,"  2,45 € ",,Gramm,  -   € 
6,"Leinsaat ganz, braun aus Europa bio",,"  0,55 € ",,Gramm,  -   € 
6,Mandeln braun bio,,"  2,55 € ",,Gramm,  -   € 
6,Pinienkerne bio,,"  4,50 € ",,Gramm,  -   € 
6,Pistazien grün mit Haut bio,,"  5,20 € ",,Gramm,  -   € 
6,Sesam bio,,"  0,99 € ",,Gramm,  -   € 
